fiware_servicepath,device_status,battery_voltage,entity_type,time_index,co2,temperature,humidity,entity_id,presence,fecha_hora
/rabanales,0.0,3.33,airsense,1619892545000,525.0,21.42,52.4,atd-airsense006,0.0,2021-05-01 18:09:05
/rabanales,0.0,3.25,airsense,1619899939000,470.0,17.97,48.85,atd-airsense001,0.0,2021-05-01 20:12:19
/rabanales,0.0,3.25,airsense,1619907138000,448.0,17.69,50.23,atd-airsense001,0.0,2021-05-01 22:12:18
/rabanales,0.0,3.29,airsense,1619907275000,529.0,21.17,54.68,atd-airsense009,0.0,2021-05-01 22:14:35
/rabanales,0.0,3.37,airsense,1619908584000,433.0,17.13,53.72,atd-airsense003,0.0,2021-05-01 22:36:24
/rabanales,0.0,3.25,airsense,1619909838000,467.0,17.58,51.41,atd-airsense001,0.0,2021-05-01 22:57:18
/rabanales,0.0,3.25,airsense,1619910692000,538.0,21.24,54.63,atd-airsense007,0.0,2021-05-01 23:11:32
/rabanales,0.0,3.37,airsense,1619907684000,444.0,17.3,52.63,atd-airsense003,0.0,2021-05-01 22:21:24
/rabanales,0.0,3.33,airsense,1619908745000,530.0,21.09,54.34,atd-airsense006,0.0,2021-05-01 22:39:05
/rabanales,0.0,3.25,airsense,1619908892000,531.0,21.3,54.34,atd-airsense007,0.0,2021-05-01 22:41:32
/rabanales,0.0,3.25,airsense,1619907992000,547.0,21.3,54.2,atd-airsense007,0.0,2021-05-01 22:26:32
/rabanales,0.0,3.19,airsense,1619917077000,706.0,20.79,56.84,atd-airsense010,0.0,2021-05-02 00:57:57
/rabanales,0.0,3.33,airsense,1619917744000,536.0,20.88,55.14,atd-airsense006,0.0,2021-05-02 01:09:04
/rabanales,0.0,3.25,airsense,1619917892000,535.0,21.08,55.21,atd-airsense007,0.0,2021-05-02 01:11:32
/rabanales,0.0,3.29,airsense,1619918075000,534.0,20.76,55.73,atd-airsense009,0.0,2021-05-02 01:14:35
/rabanales,0.0,3.33,airsense,1619920444000,544.0,20.75,55.42,atd-airsense006,0.0,2021-05-02 01:54:04
/rabanales,0.0,3.25,airsense,1619921492000,545.0,20.94,55.49,atd-airsense007,0.0,2021-05-02 02:11:32
/rabanales,0.0,3.25,airsense,1619920638000,464.0,16.95,55.31,atd-airsense001,0.0,2021-05-02 01:57:18
/rabanales,0.0,3.24,airsense,1619920592000,533.0,20.98,55.4,atd-airsense007,0.0,2021-05-02 01:56:32
/rabanales,0.0,3.25,airsense,1619919738000,460.0,17.0,55.1,atd-airsense001,0.0,2021-05-02 01:42:18
/rabanales,0.0,3.24,airsense,1619923292000,545.0,20.86,55.69,atd-airsense007,0.0,2021-05-02 02:41:32
/rabanales,0.0,3.24,airsense,1619924192000,548.0,20.77,55.61,atd-airsense007,0.0,2021-05-02 02:56:32
